index,team,minute,timestamp,player,shot_statsbomb_xg,type,location,shot_end_location,shot_outcome
3619,Liverpool,18,00:18:47.269,Nathaniel Edwin Clyne,0.03031518,Shot,"[94.0, 46.2]","[120.0, 49.0, 0.2]",Off T
3624,Liverpool,56,00:11:23.035,Daniel William John Ings,0.12071846,Shot,"[108.6, 35.6]","[116.0, 38.3, 1.6]",Saved
3626,Liverpool,63,00:18:53.126,Daniel William John Ings,0.26915506,Shot,"[116.8, 40.4]","[119.3, 40.5]",Blocked
3628,Liverpool,72,00:27:51.514,James Philip Milner,0.011420772,Shot,"[96.8, 18.9]","[120.0, 33.7, 4.2]",Off T
3629,Liverpool,75,00:30:19.389,Christian Benteke Liolo,0.0805561,Shot,"[113.2, 45.1]","[120.0, 44.8, 4.4]",Off T
3631,Liverpool,82,00:37:57.632,Jordon Ibe,0.037607152,Shot,"[103.8, 57.5]","[117.3, 41.9, 2.0]",Saved
3632,Liverpool,83,00:38:48.146,Christian Benteke Liolo,0.06815794,Shot,"[108.2, 32.1]","[120.0, 42.6, 1.6]",Goal
