index,team,minute,timestamp,player,shot_statsbomb_xg,type,location,shot_end_location,shot_outcome
3315,Liverpool,18,00:18:48.985,Adam David Lallana,0.030166818,Shot,"[95.5, 30.1]","[103.9, 33.7]",Blocked
3316,Liverpool,20,00:20:54.639,Philippe Coutinho Correia,0.02154384,Shot,"[96.0, 33.3]","[97.5, 33.8]",Blocked
3317,Liverpool,30,00:30:29.881,Jordon Ibe,0.008484754,Shot,"[105.7, 60.1]","[107.4, 58.5]",Blocked
3321,Liverpool,62,00:17:29.183,Dejan Lovren,0.010462932,Shot,"[109.1, 22.4]","[118.1, 36.6, 1.2]",Saved
3322,Liverpool,66,00:21:45.360,Christian Benteke Liolo,0.07517935,Shot,"[106.5, 32.1]","[108.5, 33.4]",Blocked
3323,Liverpool,67,00:22:53.312,Martin Škrtel,0.051892743,Shot,"[110.3, 39.9]","[118.4, 37.8, 1.1]",Saved
3324,Liverpool,76,00:31:49.864,Philippe Coutinho Correia,0.018820846,Shot,"[89.0, 39.6]","[120.0, 41.4, 6.7]",Off T
3326,Liverpool,85,00:40:18.091,Philippe Coutinho Correia,0.02871684,Shot,"[91.2, 33.0]","[120.0, 42.2, 2.2]",Goal
